iter	Passed	Remaining
0	2	254
1	5	252
2	7	237
3	9	217
4	10	206
5	12	203
6	14	197
7	16	191
8	18	184
9	20	184
10	22	181
11	24	177
12	25	173
13	27	171
14	29	168
15	31	167
16	33	164
17	35	162
18	37	160
19	39	158
20	41	156
21	43	154
22	45	151
23	47	149
24	49	147
25	51	145
26	53	144
27	55	142
28	57	140
29	59	138
30	61	136
31	63	134
32	65	132
33	66	129
34	69	128
35	70	126
36	72	123
37	74	121
38	76	119
39	78	117
40	80	115
41	81	111
42	82	109
43	84	107
44	86	105
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	99	92
52	102	90
53	104	88
54	105	86
55	107	84
56	109	82
57	111	80
58	113	79
59	115	77
60	118	75
61	120	73
62	122	71
63	123	69
64	126	67
65	128	66
66	129	64
67	132	62
68	133	60
69	136	58
70	138	56
71	140	54
72	142	52
73	144	50
74	146	48
75	148	46
76	150	44
77	152	43
78	154	41
79	156	39
80	158	37
81	161	35
82	163	33
83	165	31
84	167	29
85	169	27
86	171	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	183	13
93	185	11
94	187	9
95	189	7
96	191	5
97	193	3
98	195	1
99	197	0
